-1	James was known for his extreme and uncharacteristic behavior and he was fired from his job at the Times because of it.".
1	James was known for his love of the outdoors.
-1	James was known for his penchant for talking about his wife, but his wife was a woman of very few words.
1	James was known for his ability to make the plays in the box, but he also could make the best of just about any one situation..
-1	James was known for his extreme views on immigration.
1	James was known for his sharpness, and with his skill he is an excellent conductor.
1	James was known for his 'I'm a genius' attitude and his 'I'm a genius' attitude.
1	James was known for his fiery temper and self-deprecating style of presentation, which was well-deserved.
0	James was known for his signature "Papa" style pants and flip-flops..
-1	James was known for his extreme secrecy about his finances.
1	James was known for being an active member of the American political scene in both the West and the South, and he was also a Republican Party hopeful in the South, which he served on in both states.
1	James was known for his 'drama' and 'funniest' moments.
1	James was known for his role in the series, for which he played The Joker and for which he was named a co-creator.
1	James was known for his fierce, long-suffering style of fighting, but he quickly fell off the field, though his own personal exploits continued to inspire him..
1	James was known for his ability to create, and to drive the pace of the game in his own way..
1	James was known for his strong stand on abortion rights, including his support for the use of a "partial birth" abortion for terminations..
1	James was known for his sharpness, and his patience..
1	James was known for his signature, but he could also be used to make art.
-1	James was known for getting into trouble for drinking, but he has also been fined for being drunk in front of reporters, and for being a drunk driver, among other misdemeanours..
1	James was known for his ability to work with a group of college athletes and was known for his ability to play in the Olympic Games.
-1	James was known for his outspoken stand on abortion, but it was his own decision to stand up for Roe v.
-1	James was known for his strong-willed, strong-willed style of play, but in 2013 his career was punctuated by a series of injuries.
1	James was known for his hard work, his passion, his love for his family..
1	James was known for his fierce, unyielding passion for life.
1	James was known for his playmaking ability, and he was known for his ability to put his body on the line to create shots.
-1	James was known for his hard work, but there were times when he was a little bit too hard on his time and his time was up.
1	James was known for his good looks, he looked good for a long time, he was a great man, and he was a good guy.
1	James was known for being a highly successful and hard working businessman..
1	James was known for his hard-hitting and witty style, but his early career as a rapper only served to add to his reputation as a great rap personality..
1	James was known for his love of cats, and has also worked with both the American Red Cross and the Red Cross of Pakistan to support the families of those killed in the attack..
1	James was known for his love of writing fiction..
1	James was known for his hard work, and he had the best of both worlds.
-1	James was known for his extreme anti-Semitic actions in Nazi Germany, which he described as "the most despicable things." He reportedly "threatened to kill Jews who came to America and tried to kill Jews here in Germany
1	James was known for his ability to play the ball and make plays from long range, but there was still a chance he might leave a long term impression on the team..
1	James was known for being one of the first to embrace the idea of a new kind of "science fiction" as he began publishing novels and short stories in the 1960s.
